中央区 南17条西16・17丁目（南17条通の南側のみ）,札幌センター1,月 木,20160906 20161004 20161101 20161129 20170523 20170620 20170718 20170815 20170912,20160920 20161018 20161115 20161213 20170117 20170214 20170314 20170411 20170509 20170606 20170704 20170801 20170829 20170926,水,20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20170110 20170124 20170207 20170221 20170307 20170321 20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919,金
中央区 南18条～30条の西○丁目,札幌センター1,月 木,20160906 20161004 20161101 20161129 20170523 20170620 20170718 20170815 20170912,20160920 20161018 20161115 20161213 20170117 20170214 20170314 20170411 20170509 20170606 20170704 20170801 20170829 20170926,水,20160913 20160927 20161011 20161025 20161108 20161122 20161206 20161220 20170110 20170124 20170207 20170221 20170307 20170321 20170404 20170418 20170502 20170516 20170530 20170613 20170627 20170711 20170725 20170808 20170822 20170905 20170919,金
中央区 南3条西11丁目・12丁目（南3条通の南側のみ）,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 南4条西9丁目・10丁目（南4条通の南側のみ）,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 南4条西11丁目～27丁目,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 南5条～8条の西9丁目～27丁目,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 南9条～16条の西13丁目～23丁目,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 南17条西16丁目・17丁目（南17条通の北側のみ）,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 南17条西18丁目,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 円山・双子山・界川・旭ヶ丘・伏見,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 円山西町（9丁目5番、6番のみ）,札幌センター1,月 木,20160909 20161007 20161104 20161202 20170526 20170623 20170721 20170818 20170915,20160923 20161021 20161118 20161216 20170120 20170217 20170317 20170414 20170512 20170609 20170707 20170804 20170901 20170929,火,20160902 20160916 20160930 20161014 20161028 20161111 20161125 20161209 20161223 20170113 20170127 20170210 20170224 20170310 20170324 20170407 20170421 20170505 20170519 20170602 20170616 20170630 20170714 20170728 20170811 20170825 20170908 20170922,水
中央区 北1条西10丁目～19丁目（北1条通の北側のみ）,札幌センター1,火 金,20160905 20161003 20161031 20161128 20170522 20170619 20170717 20170814 20170911,20160919 20161017 20161114 20161212 20170116 20170213 20170313 20170410 20170508 20170605 20170703 20170731 20170828 20170925,水,20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20170109 20170123 20170206 20170220 20170306 20170320 20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 20170724 20170807 20170821 20170904 20170918,木
中央区 北2条西8丁目～19丁目,札幌センター1,火 金,20160905 20161003 20161031 20161128 20170522 20170619 20170717 20170814 20170911,20160919 20161017 20161114 20161212 20170116 20170213 20170313 20170410 20170508 20170605 20170703 20170731 20170828 20170925,水,20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20170109 20170123 20170206 20170220 20170306 20170320 20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 20170724 20170807 20170821 20170904 20170918,木
中央区 北3条・4条の西8丁目～20丁目,札幌センター1,火 金,20160905 20161003 20161031 20161128 20170522 20170619 20170717 20170814 20170911,20160919 20161017 20161114 20161212 20170116 20170213 20170313 20170410 20170508 20170605 20170703 20170731 20170828 20170925,水,20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20170109 20170123 20170206 20170220 20170306 20170320 20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 20170724 20170807 20170821 20170904 20170918,木
中央区 北5条～11条の西9丁目～20丁目,札幌センター1,火 金,20160905 20161003 20161031 20161128 20170522 20170619 20170717 20170814 20170911,20160919 20161017 20161114 20161212 20170116 20170213 20170313 20170410 20170508 20170605 20170703 20170731 20170828 20170925,水,20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20170109 20170123 20170206 20170220 20170306 20170320 20170403 20170417 20170501 20170515 20170529 20170612 20170626 20170710 20170724 20170807 20170821 20170904 20170918,木
