地名,センター,燃やせるごみ・スプレー缶,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
豊平区 美園○条○丁目,札幌センター1,火 金,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,木,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,月
豊平区 月寒西1条2丁目1番（望月寒川沿いのみ）,札幌センター1,火 金,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,木,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,月
豊平区 月寒西2条4丁目1番,札幌センター1,火 金,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,木,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,月
豊平区 月寒中央通1丁目1番（望月寒川沿いのみ）,札幌センター1,火 金,20180919 20181017 20181114 20190508 20190605 20190703 20190731 20190828 20190925,20180905 20181003 20181031 20181128 20181226 20190130 20190227 20190327 20190424 20190522 20190619 20190717 20190814 20190911,木,20180912 20180926 20181010 20181024 20181107 20181121 20181205 20181219 20190109 20190123 20190206 20190220 20190306 20190320 20190403 20190417 20190501 20190515 20190529 20190612 20190626 20190710 20190724 20190807 20190821 20190904 20190918,月
豊平区 西岡○条○丁目、○番地,札幌センター1,火 金,20180920 20181018 20181115 20190509 20190606 20190704 20190801 20190829 20190926,20180906 20181004 20181101 20181129 20181227 20190131 20190228 20190328 20190425 20190523 20190620 20190718 20190815 20190912,月,20180913 20180927 20181011 20181025 20181108 20181122 20181206 20181220 20190110 20190124 20190207 20190221 20190307 20190321 20190404 20190418 20190502 20190516 20190530 20190613 20190627 20190711 20190725 20190808 20190822 20190905 20190919,水
豊平区 福住○条○丁目,札幌センター1,火 金,20180920 20181018 20181115 20190509 20190606 20190704 20190801 20190829 20190926,20180906 20181004 20181101 20181129 20181227 20190131 20190228 20190328 20190425 20190523 20190620 20190718 20190815 20190912,月,20180913 20180927 20181011 20181025 20181108 20181122 20181206 20181220 20190110 20190124 20190207 20190221 20190307 20190321 20190404 20190418 20190502 20190516 20190530 20190613 20190627 20190711 20190725 20190808 20190822 20190905 20190919,水
豊平区 羊ヶ丘（森林総合研究所公務員宿舎のみ）,札幌センター1,火 金,20180920 20181018 20181115 20190509 20190606 20190704 20190801 20190829 20190926,20180906 20181004 20181101 20181129 20181227 20190131 20190228 20190328 20190425 20190523 20190620 20190718 20190815 20190912,月,20180913 20180927 20181011 20181025 20181108 20181122 20181206 20181220 20190110 20190124 20190207 20190221 20190307 20190321 20190404 20190418 20190502 20190516 20190530 20190613 20190627 20190711 20190725 20190808 20190822 20190905 20190919,水
豊平区 月寒東○条○丁目,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,金,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,水
豊平区 月寒西○条○丁目（月寒西1条2丁目1番の望月寒川沿い・月寒西2条4丁目1番を除く）,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,金,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,水
豊平区 月寒中央通○丁目（月寒中央通1丁目1番の望月寒川沿いを除く）,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,金,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,水
豊平区 羊ヶ丘（北海道農業研修センター宿舎・動物衛生研究所宿舎のみ）,札幌センター1,月 木,20180918 20181016 20181113 20190507 20190604 20190702 20190730 20190827 20190924,20180904 20181002 20181030 20181127 20181225 20190129 20190226 20190326 20190423 20190521 20190618 20190716 20190813 20190910,金,20180911 20180925 20181009 20181023 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319 20190402 20190416 20190430 20190514 20190528 20190611 20190625 20190709 20190723 20190806 20190820 20190903 20190917,水
