地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
南区 澄川2条4丁目（12番～14番）・5丁目,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 澄川3条4丁目（7番）・5丁目・6丁目,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 澄川4条4丁目（1番18号～27号、2番～11番）・5丁目～12丁目,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 澄川5条4丁目（1番・7番～9番）・5丁目（1番～9番）,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 澄川5条6丁目（1番～8番）・7丁目～13丁目,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 澄川6条7丁目～13丁目,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 澄川○番地,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 真駒内柏丘・東町・幸町・泉町・南町の○丁目,札幌センター1,月 木,20170908 20171006 20171103 20171201 20180525 20180622 20180720 20180817 20180914,20170922 20171020 20171117 20171215 20180119 20180216 20180316 20180413 20180511 20180608 20180706 20180803 20180831 20180928,火,20170901 20170915 20170929 20171013 20171027 20171110 20171124 20171208 20171222 20180112 20180126 20180209 20180223 20180309 20180323 20180406 20180420 20180504 20180518 20180601 20180615 20180629 20180713 20180727 20180810 20180824 20180907 20180921,水
南区 石山○条○丁目、○番地（石山1条1丁目12-6パレス藻南公園を除く）,札幌センター1,月 木,20170905 20171003 20171031 20171128 20180522 20180619 20180717 20180814 20180911,20170919 20171017 20171114 20171212 20180116 20180213 20180313 20180410 20180508 20180605 20180703 20180731 20180828 20180925,水,20170912 20170926 20171010 20171024 20171107 20171121 20171205 20171219 20180109 20180123 20180206 20180220 20180306 20180320 20180403 20180417 20180501 20180515 20180529 20180612 20180626 20180710 20180724 20180807 20180821 20180904 20180918,金
南区 石山東○丁目,札幌センター1,月 木,20170905 20171003 20171031 20171128 20180522 20180619 20180717 20180814 20180911,20170919 20171017 20171114 20171212 20180116 20180213 20180313 20180410 20180508 20180605 20180703 20180731 20180828 20180925,水,20170912 20170926 20171010 20171024 20171107 20171121 20171205 20171219 20180109 20180123 20180206 20180220 20180306 20180320 20180403 20180417 20180501 20180515 20180529 20180612 20180626 20180710 20180724 20180807 20180821 20180904 20180918,金
南区 常盤○条○丁目、○番地,札幌センター1,月 木,20170905 20171003 20171031 20171128 20180522 20180619 20180717 20180814 20180911,20170919 20171017 20171114 20171212 20180116 20180213 20180313 20180410 20180508 20180605 20180703 20180731 20180828 20180925,水,20170912 20170926 20171010 20171024 20171107 20171121 20171205 20171219 20180109 20180123 20180206 20180220 20180306 20180320 20180403 20180417 20180501 20180515 20180529 20180612 20180626 20180710 20180724 20180807 20180821 20180904 20180918,金
南区 滝野○番地,札幌センター1,月 木,20170905 20171003 20171031 20171128 20180522 20180619 20180717 20180814 20180911,20170919 20171017 20171114 20171212 20180116 20180213 20180313 20180410 20180508 20180605 20180703 20180731 20180828 20180925,水,20170912 20170926 20171010 20171024 20171107 20171121 20171205 20171219 20180109 20180123 20180206 20180220 20180306 20180320 20180403 20180417 20180501 20180515 20180529 20180612 20180626 20180710 20180724 20180807 20180821 20180904 20180918,金
南区 真駒内○番地（自衛隊真駒内駐屯地を除く）,札幌センター1,月 木,20170905 20171003 20171031 20171128 20180522 20180619 20180717 20180814 20180911,20170919 20171017 20171114 20171212 20180116 20180213 20180313 20180410 20180508 20180605 20180703 20180731 20180828 20180925,水,20170912 20170926 20171010 20171024 20171107 20171121 20171205 20171219 20180109 20180123 20180206 20180220 20180306 20180320 20180403 20180417 20180501 20180515 20180529 20180612 20180626 20180710 20180724 20180807 20180821 20180904 20180918,金
南区 芸術の森○丁目,札幌センター1,月 木,20170905 20171003 20171031 20171128 20180522 20180619 20180717 20180814 20180911,20170919 20171017 20171114 20171212 20180116 20180213 20180313 20180410 20180508 20180605 20180703 20180731 20180828 20180925,水,20170912 20170926 20171010 20171024 20171107 20171121 20171205 20171219 20180109 20180123 20180206 20180220 20180306 20180320 20180403 20180417 20180501 20180515 20180529 20180612 20180626 20180710 20180724 20180807 20180821 20180904 20180918,金
南区 藤野○条○丁目、○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 白川○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 簾舞○条○丁目、○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 砥山○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 豊滝○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 硬石山○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 小金湯○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 定山渓温泉西・東の○丁目,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 定山渓○番地,札幌センター1,月 木,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,金,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,火
南区 澄川1条1丁目～4丁目,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 澄川2条1丁目～3丁目・4丁目（1番～11番）,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 澄川3条1丁目～3丁目・4丁目（1番～6番）,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 澄川4条1丁目～3丁目・4丁目（1番1号～17号）,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 澄川5条3丁目・4丁目（2番～6番）,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 澄川5条5丁目（10番～19番）・6丁目（9番～14番）,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 澄川6条3丁目～6丁目,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 真駒内本町・曙町・上町・緑町の○丁目,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 真駒内○番地（自衛隊真駒内駐屯地のみ）,札幌センター1,火 金,20170904 20171002 20171030 20171127 20180521 20180618 20180716 20180813 20180910,20170918 20171016 20171113 20171211 20180115 20180212 20180312 20180409 20180507 20180604 20180702 20180730 20180827 20180924,木,20170911 20170925 20171009 20171023 20171106 20171120 20171204 20171218 20180108 20180122 20180205 20180219 20180305 20180319 20180402 20180416 20180430 20180514 20180528 20180611 20180625 20180709 20180723 20180806 20180820 20180903 20180917,水
南区 南30条～39条の西○丁目,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,月,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,水
南区 藻岩下○丁目、○番地,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,月,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,水
南区 川沿1条～6条の○丁目,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,月,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,水
南区 北ノ沢○丁目、○番地,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,月,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,水
南区 中ノ沢○丁目、○番地,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,月,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,水
南区 南沢○条○丁目、○番地（南沢1条3丁目1番（南沢やまどり公園）、20番、21番を除く）,札幌センター1,火 金,20170906 20171004 20171101 20171129 20180523 20180620 20180718 20180815 20180912,20170920 20171018 20171115 20171213 20180117 20180214 20180314 20180411 20180509 20180606 20180704 20180801 20180829 20180926,月,20170913 20170927 20171011 20171025 20171108 20171122 20171206 20171220 20180110 20180124 20180207 20180221 20180307 20180321 20180404 20180418 20180502 20180516 20180530 20180613 20180627 20180711 20180725 20180808 20180822 20180905 20180919,木
南区 川沿7条～18条の○丁目,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,水,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,月
南区 南沢1条3丁目1番（南沢やまどり公園）、20番、21番,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,水,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,月
南区 石山1条1丁目（12番6号パレス藻南公園のみ）,札幌センター1,火 金,20170907 20171005 20171102 20171130 20180524 20180621 20180719 20180816 20180913,20170921 20171019 20171116 20171214 20180118 20180215 20180315 20180412 20180510 20180607 20180705 20180802 20180830 20180927,水,20170914 20170928 20171012 20171026 20171109 20171123 20171207 20171221 20180111 20180125 20180208 20180222 20180308 20180322 20180405 20180419 20180503 20180517 20180531 20180614 20180628 20180712 20180726 20180809 20180823 20180906 20180920,月
豊平区 豊平○条○丁目,札幌センター1,火 金,20170911 20171009 20171106 20171204 20180528 20180625 20180723 20180820 20180917,20170925 20171023 20171120 20171218 20180122 20180219 20180319 20180416 20180514 20180611 20180709 20180806 20180903,水,20170904 20170918 20171002 20171016 20171030 20171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 20180409 20180423 20180507 20180521 20180604 20180618 20180702 20180716 20180730 20180813 20180827 20180910 20180924,木
豊平区 旭町○丁目,札幌センター1,火 金,20170911 20171009 20171106 20171204 20180528 20180625 20180723 20180820 20180917,20170925 20171023 20171120 20171218 20180122 20180219 20180319 20180416 20180514 20180611 20180709 20180806 20180903,水,20170904 20170918 20171002 20171016 20171030 20171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 20180409 20180423 20180507 20180521 20180604 20180618 20180702 20180716 20180730 20180813 20180827 20180910 20180924,木
豊平区 水車町○丁目,札幌センター1,火 金,20170911 20171009 20171106 20171204 20180528 20180625 20180723 20180820 20180917,20170925 20171023 20171120 20171218 20180122 20180219 20180319 20180416 20180514 20180611 20180709 20180806 20180903,水,20170904 20170918 20171002 20171016 20171030 20171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 20180409 20180423 20180507 20180521 20180604 20180618 20180702 20180716 20180730 20180813 20180827 20180910 20180924,木
豊平区 中の島○条○丁目,札幌センター1,火 金,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
豊平区 平岸○条○丁目,札幌センター1,火 金,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
豊平区 美園○条○丁目,札幌センター1,火 金,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
豊平区 月寒西1条2丁目1番（望月寒川沿いのみ）,札幌センター1,火 金,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
豊平区 月寒西2条4丁目1番,札幌センター1,火 金,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
豊平区 月寒中央通1丁目1番（望月寒川沿いのみ）,札幌センター1,火 金,20170913 20171011 20171108 20171206 20180502 20180530 20180627 20180725 20180822 20180919,20170927 20171025 20171122 20171220 20180124 20180221 20180321 20180418 20180516 20180613 20180711 20180808 20180905,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
豊平区 西岡○条○丁目、○番地,札幌センター1,火 金,20170914 20171012 20171109 20171207 20180503 20180531 20180628 20180726 20180823 20180920,20170928 20171026 20171123 20171221 20180125 20180222 20180322 20180419 20180517 20180614 20180712 20180809 20180906,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
豊平区 福住○条○丁目,札幌センター1,火 金,20170914 20171012 20171109 20171207 20180503 20180531 20180628 20180726 20180823 20180920,20170928 20171026 20171123 20171221 20180125 20180222 20180322 20180419 20180517 20180614 20180712 20180809 20180906,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
豊平区 羊ヶ丘（森林総合研究所公務員宿舎のみ）,札幌センター1,火 金,20170914 20171012 20171109 20171207 20180503 20180531 20180628 20180726 20180823 20180920,20170928 20171026 20171123 20171221 20180125 20180222 20180322 20180419 20180517 20180614 20180712 20180809 20180906,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
豊平区 月寒東○条○丁目,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
豊平区 月寒西○条○丁目（月寒西1条2丁目1番の望月寒川沿い・月寒西2条4丁目1番を除く）,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
豊平区 月寒中央通○丁目（月寒中央通1丁目1番の望月寒川沿いを除く）,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
豊平区 羊ヶ丘（北海道農業研修センター宿舎・動物衛生研究所宿舎のみ）,札幌センター1,月 木,20170912 20171010 20171107 20171205 20180501 20180529 20180626 20180724 20180821 20180918,20170926 20171024 20171121 20171219 20180123 20180220 20180320 20180417 20180515 20180612 20180710 20180807 20180904,金,20170905 20170919 20171003 20171017 20171031 20171114 20171128 20171212 20171226 20180116 20180130 20180213 20180227 20180313 20180327 20180410 20180424 20180508 20180522 20180605 20180619 20180703 20180717 20180731 20180814 20180828 20180911 20180925,水
