地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
東区 栄町○番地,札幌センター1,月 木,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
東区 北丘珠○条○丁目,札幌センター1,月 木,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
東区 東苗穂町○番地,札幌センター1,月 木,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,金,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,火
東区 伏古1条～10条の1丁目～5丁目,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,火,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,水
東区 東苗穂○条○丁目,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,火,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,水
東区 東雁来○条○丁目,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,火,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,水
東区 東雁来町○番地,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,火,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,水
東区 中沼○条○丁目,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,火,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,水
東区 中沼町○番地,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,火,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,水
東区 中沼西○条○丁目,札幌センター1,月 木,20170901 20170929 20171027 20171124 20180518 20180615 20180713 20180810 20180907,20170915 20171013 20171110 20171208 20180112 20180209 20180309 20180406 20180504 20180601 20180629 20180727 20180824 20180921,火,20170908 20170922 20171006 20171020 20171103 20171117 20171201 20171215 20171229 20180119 20180202 20180216 20180302 20180316 20180330 20180413 20180427 20180511 20180525 20180608 20180622 20180706 20180720 20180803 20180817 20180831 20180914 20180928,水
東区 北5条～33条の東1丁目～7丁目,札幌センター1,火 金,20170925 20171023 20171120 20180514 20180611 20180709 20180806 20180903,20170911 20171009 20171106 20171204 20180108 20180205 20180305 20180402 20180430 20180528 20180625 20180723 20180820 20180917,水,20170904 20170918 20171002 20171016 20171030 20171113 20171127 20171211 20171225 20180115 20180129 20180212 20180226 20180312 20180326 20180409 20180423 20180507 20180521 20180604 20180618 20180702 20180716 20180730 20180813 20180827 20180910 20180924,木
東区 北15条～33条の東8丁目～15丁目,札幌センター1,火 金,20170927 20171025 20171122 20180516 20180613 20180711 20180808 20180905,20170913 20171011 20171108 20171206 20180110 20180207 20180307 20180404 20180502 20180530 20180627 20180725 20180822 20180919,木,20170906 20170920 20171004 20171018 20171101 20171115 20171129 20171213 20171227 20180117 20180131 20180214 20180228 20180314 20180328 20180411 20180425 20180509 20180523 20180606 20180620 20180704 20180718 20180801 20180815 20180829 20180912 20180926,月
東区 北4条～14条の東8丁目～20丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
東区 北15条～33条の東16丁目～23丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
東区 苗穂町○丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
東区 本町○条○丁目,札幌センター1,火 金,20170928 20171026 20171123 20180517 20180614 20180712 20180809 20180906,20170914 20171012 20171109 20171207 20180111 20180208 20180308 20180405 20180503 20180531 20180628 20180726 20180823 20180920,月,20170907 20170921 20171005 20171019 20171102 20171116 20171130 20171214 20171228 20180118 20180201 20180215 20180301 20180315 20180329 20180412 20180426 20180510 20180524 20180607 20180621 20180705 20180719 20180802 20180816 20180830 20180913 20180927,水
